Latitude,Longitude,Name,Description,Icon,IconColor,Folder,HideNameUntilMouseOver
46.696641,-114.024649,139,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.697083,-114.021456,140,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.697524,-114.018264,141,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.697965,-114.015071,142,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.698407,-114.011878,143,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.693553,-114.030395,147,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.693994000000004,-114.027202,148,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.694436,-114.02401,149,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.694877,-114.020817,150,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.691343,-114.046357,162,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.691785,-114.043165,163,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.692227,-114.039972,164,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.692669,-114.03678,165,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.693111,-114.033588,166,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.690022,-114.039333,175,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.690464,-114.03614,176,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.690906,-114.032948,177,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.691347,-114.029755,178,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.691789,-114.026563,179,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.692231,-114.023371,180,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.692672,-114.020178,181,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.687817,-114.038693,188,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.688259,-114.035501,189,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.688701,-114.032308,190,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
